,Class,Lat,Long
0,Person,17.44862161792321,78.35762253917927
1,Person,17.44862161792321,78.35762253917927
2,Person,17.44951834418332,78.36393246909478
3,Person,17.44951834418332,78.36393246909478
4,Person,17.44951834418332,78.36393246909478
5,Person,17.44951834418332,78.36393246909478
6,Person,17.44951834418332,78.36393246909478
7,Person,17.44951834418332,78.36393246909478
8,Person,17.44951834418332,78.36393246909478
9,Person,17.44951834418332,78.36393246909478
10,Person,17.44951834418332,78.36393246909478
11,Person,17.44951834418332,78.36393246909478
12,Person,17.44951834418332,78.36393246909478
13,Person,17.44951834418332,78.36393246909478
14,Person,17.44673988840573,78.36351402993348
15,Person,17.44673988840573,78.36351402993348
16,Person,17.44673988840573,78.36351402993348
17,Person,17.44673988840573,78.36351402993348
18,Person,17.44673988840573,78.36351402993348
19,Person,17.44673988840573,78.36351402993348
20,Person,17.44673988840573,78.36351402993348
21,Person,17.44673988840573,78.36351402993348
